"Step","classfBERT_gcp_single_gpu_run1 - loss","siamBERT_gcp_single_gpu_run_1 - loss"
"1","0.0013727777004241943","0.001014403223991394"
"500","0.4820947210788727","0.1913209239244461"
"1000","0.38557345581054686","0.14508843994140624"
"1500","0.3527792358398438","0.13566278076171875"
"2000","0.329373291015625","0.12935931396484374"
"2500","0.327573486328125","0.13154144287109376"
"3000","0.3161912841796875","0.125103515625"
"3500","0.310463623046875","0.12543682861328126"
"4000","0.301780029296875","0.12069537353515625"
"4500","0.298083984375","0.12217724609375"
"5000","0.2968330078125","0.1180555419921875"
"5500","0.289449951171875","0.11853271484375"
"6000","0.28904052734375","0.1190328369140625"
"6500","0.281529296875","0.1165693359375"
"7000","0.2816689453125","0.113060546875"
"7500","0.27802734375","0.113955322265625"
"8000","0.27646044921875","0.1113751220703125"
"8500","0.2728349609375","0.110212646484375"
"9000","0.2723017578125","0.109295654296875"
"9500","0.26091650390625","0.10534716796875"
"10000","0.26190478515625","0.106225341796875"
"10500","0.26491845703125","0.106831298828125"
"11000","0.255916015625","0.1074462890625"
"11500","0.256876953125","0.103775146484375"
"12000","0.19164599609375","0.088210693359375"
"12500","0.18725244140625","0.084516357421875"
"13000","0.18232421875","0.085271240234375"
"13500","0.1864892578125","0.085782958984375"
"14000","0.1901142578125","0.087716552734375"
"14500","0.19556689453125","0.0877294921875"
"15000","0.19008447265625","0.0864462890625"
"15500","0.18429296875","0.084181640625"
"16000","0.1892451171875","0.085461669921875"
"16500","0.1966171875","0.086013916015625"
"17000","0.1892333984375","0.0856533203125"
"17500","0.196150390625","0.08597900390625"
"18000","0.1900244140625","0.082977294921875"
"18500","0.184095703125","0.08264697265625"
"19000","0.1772099609375","0.083354736328125"
"19500","0.198234375","0.086132568359375"
"20000","0.1842236328125","0.08250146484375"
"20500","0.189755859375","0.08439111328125"
"21000","0.1883642578125","0.08396875"
"21500","0.181330078125","0.0816962890625"
"22000","0.1780634765625","0.08045166015625"
"22500","0.18594140625","0.08152490234375"
"23000","0.147015625","0.0707392578125"
"23500","0.114646484375","0.05899951171875"
"24000","0.107005859375","0.05838623046875"
"24500","0.115564453125","0.0591865234375"
"25000","0.113296875","0.0599755859375"
"25500","0.1203544921875","0.0586708984375"
"26000","0.1161474609375","0.06062890625"
"26500","0.1147470703125","0.06012939453125"
"27000","0.1158701171875","0.05933984375"
"27500","0.116900390625","0.05864111328125"
"28000","0.120982421875","0.06085498046875"
"28500","0.1109658203125","0.05877197265625"
"29000","0.1196201171875","0.06004052734375"
"29500","0.1159677734375","0.0598662109375"
"30000","0.1114970703125","0.0581884765625"
"30500","0.116181640625","0.0582890625"
"31000","0.115388671875","0.05862939453125"
"31500","0.118203125","0.060015625"
"32000","0.1121162109375","0.0588837890625"
"32500","0.1097685546875","0.0580439453125"
"33000","0.10711328125","0.0570478515625"
"33500","0.1150498046875","0.05910400390625"
"34000","0.1146845703125","0.05549365234375"
"34500","0.07476171875","0.04458447265625"
"35000","0.0670341796875","0.0397119140625"
"35500","0.0666005859375","0.039791015625"
"36000","0.0650126953125","0.0414287109375"
"36500","0.0706611328125","0.0402177734375"
"37000","0.0669990234375","0.0415390625"
"37500","0.06576171875","0.0411435546875"
"38000","0.066685546875","0.039470703125"
"38500","0.0610673828125","0.039296875"
"39000","0.0651533203125","0.04067041015625"
"39500","0.07057421875","0.04224755859375"
"40000","0.06593359375","0.04143017578125"
"40500","0.0669091796875","0.0400380859375"
"41000","0.0658583984375","0.04075244140625"
"41500","0.06840234375","0.039486328125"
"42000","0.0620283203125","0.03993994140625"
"42500","0.0645673828125","0.04033203125"
"43000","0.0591103515625","0.0383837890625"
"43500","0.065642578125","0.0397705078125"
"44000","0.065056640625","0.04040673828125"
"44500","0.058224609375","0.04012158203125"
"45000","0.063263671875","0.0397373046875"
"45500","undefined","0.0397490234375"